Optical efficiency,Field efficiency,DNI corrected efficiency
0.6736347269453891,0.082622468364575,4.816068334569501
0.6197098549274638,0.24998291186158297,106.8581394619585
0.63111516256457,0.4231237511090537,270.16681670905007
0.6227722772277228,0.5241997538189621,392.7874572740987
0.5912131147540983,0.5090632043074211,412.7741432026688
0.5399325084364455,0.4903008674964459,414.1898451520494
0.5233363444745559,0.46916307575920213,403.48068786926746
0.5193378480060196,0.4663680587542862,401.13080704773176
0.5361786319954777,0.4856957170976718,410.47909936073995
0.5938521909744932,0.5138833161865569,417.0447484129901
0.62522143489814,0.5239617506500808,393.13634597424357
0.6356534090909091,0.4258662655844139,272.7379769272018
0.618547418967587,0.25126719301890704,108.35982178879141
0.6663998399039424,0.08367821506573593,5.21999893712353
